f1,f2,f3,type
7.382677,4.232064,63,pareto
7.384761,4.136118,11976,pareto
7.385788,4.164215,3716,pareto
7.385984,4.203792,2506,pareto
7.396517,4.228432,0,pareto
7.396741,3.919672,2666,pareto
7.399651,4.156069,0,pareto
7.417984,3.859347,6880,pareto
7.429346,3.781187,23048,pareto
7.437585,3.838219,9080,pareto
7.437801,3.838219,8780,pareto
7.443221,3.706792,8780,pareto
7.444994,3.801998,8664,pareto
7.445816,3.600781,8964,pareto
7.448774,3.561479,22396,pareto
7.450834,3.595643,8964,pareto
7.452152,3.588720,8664,pareto
7.452479,3.483318,22932,pareto
7.458653,3.382567,22932,pareto
7.460957,3.269663,22932,pareto
7.463201,3.411799,11074,pareto
7.470463,3.437363,10774,pareto
7.471032,3.463357,8964,pareto
7.471984,3.345136,11074,pareto
7.472034,3.349076,10774,pareto
7.472034,3.443859,8664,pareto
7.474518,3.283965,11074,pareto
7.477190,3.202852,10774,pareto
7.478319,3.216472,8964,pareto
7.480126,3.100117,8664,pareto
7.481715,3.835441,6472,pareto
7.484756,3.250723,5496,pareto
7.485430,3.024217,8664,pareto
7.487189,2.998271,8964,pareto
7.488120,2.984915,12406,pareto
7.491041,2.958485,8664,pareto
7.492235,2.876272,8664,pareto
7.493427,3.108548,7423,pareto
7.494782,2.852108,7883,pareto
7.497046,2.780180,11793,pareto
7.498156,2.943151,7072,pareto
7.498238,2.754528,8383,pareto
7.498644,2.687132,11074,pareto
7.498890,2.654728,11593,pareto
7.499318,2.737194,10774,pareto
7.499558,2.632456,11074,pareto
7.500180,2.632456,8664,pareto
7.500615,2.788486,7459,pareto
7.501630,2.574317,11190,pareto
7.501991,2.552028,8664,pareto
7.502902,2.482480,8964,pareto
7.504483,2.434317,10933,pareto
7.504880,2.537674,8780,pareto
7.505717,2.460282,8780,pareto
7.505815,2.518970,8664,pareto
7.506196,2.434317,10774,pareto
7.506437,2.398016,8964,pareto
7.506652,2.379201,8664,pareto
7.509364,2.704353,8125,pareto
7.529443,2.688993,7972,pareto
7.531902,2.501210,8659,pareto
7.213762,12.637687,17540,baseline
