iteration,hv_mean,hv_std
286,1779390.213163,26529.995781
287,1779399.529394,26620.667089
288,1779375.082350,26595.405005
289,1779538.125778,26727.633829
290,1779596.576630,26726.497774
291,1779622.628663,26730.168809
292,1780069.880367,26681.905594
293,1780019.672297,26696.494185
294,1780091.882428,26719.285607
295,1780225.279312,26755.445480
296,1780250.324150,26731.030786
297,1780264.107841,26720.842678
298,1780268.441622,26767.773719
299,1780301.455959,26764.231681
300,1780359.482868,26764.435062
301,1780355.669592,26778.745657
302,1780459.944220,26735.055877
303,1780459.173465,26766.224346
304,1780438.381163,26734.317404
305,1780394.458975,26715.237474
306,1780442.085601,26760.455160
307,1780415.448210,26741.082926
308,1780576.154560,26740.373190
309,1780559.198927,26772.002184
310,1780560.923505,26760.007214
311,1780569.361754,26763.059097
312,1780646.773437,26747.175631
313,1780693.871961,26747.541216
314,1780714.660669,26747.396857
315,1780658.210605,26761.202128
316,1780847.468966,26819.207701
317,1780802.531148,26797.189582
318,1780837.280319,26833.061383
319,1780851.026773,26774.579521
320,1780821.199485,26778.446639
321,1780826.452361,26786.031780
322,1780892.644097,26801.101481
323,1780923.401275,26800.468504
324,1780930.859451,26783.668664
325,1781078.520517,26759.595324
326,1781098.143663,26755.678947
327,1781100.046711,26768.946167
328,1781131.259208,26756.596984
329,1781184.874729,26747.218018
330,1781215.943272,26745.919878
331,1781217.225267,26747.806724
332,1781186.783928,26737.710878
333,1781239.753647,26728.483901
334,1781304.431276,26733.651019
335,1781340.262112,26730.847347
336,1781323.176171,26725.419937
337,1781351.806797,26715.839151
338,1781355.355133,26717.193953
339,1781421.452339,26751.612546
340,1781424.215892,26763.983453
341,1781527.765651,26836.373736
342,1781520.466798,26829.119700
343,1781515.300642,26847.650832
344,1781536.177277,26841.170826
345,1781540.521484,26842.276820
346,1781558.117602,26828.813009
347,1781577.796490,26839.730816
348,1781587.857248,26844.927073
349,1781647.517034,26851.571797
350,1781799.620927,26868.094647
351,1781833.304611,26922.075872
352,1781879.762744,26921.358648
353,1781904.042152,26931.991468
354,1781922.449930,26933.165828
355,1781982.780817,26967.323427
356,1781960.727417,26954.326492
357,1781951.741636,26959.742223
358,1781963.549347,27003.673955
359,1782008.279185,26989.639777
360,1782326.350436,27070.657206
361,1782279.318787,27081.419097
362,1782319.047533,27056.755578
363,1782305.494068,27039.339150
364,1782317.751963,27097.340213
365,1782381.863181,27130.371885
366,1782483.189901,27193.328616
367,1782455.105477,27137.797591
368,1782468.600776,27159.831172
369,1782477.436119,27141.985691
370,1782485.176642,27145.069125
371,1782463.571356,27144.714331
372,1782422.372084,27146.527480
373,1782397.595847,27178.423937
374,1782394.074251,27190.803464
375,1782459.840980,27214.522430
376,1782450.714503,27200.034809
377,1782471.370014,27214.246946
378,1782494.414332,27226.614498
379,1782514.217671,27194.781391
380,1782524.351795,27251.119721
381,1782737.343825,27434.333201
382,1782748.308836,27415.732483
383,1782788.716907,27445.346016
384,1782825.514445,27447.647676
385,1782875.088876,27462.886216
386,1782923.582021,27498.330016
387,1782925.665258,27479.696290
388,1782942.062026,27486.469858
389,1782921.979502,27475.502360
390,1782935.566349,27458.897713
391,1782952.936300,27456.611718
392,1782960.113832,27451.204694
393,1782991.415965,27474.508378
394,1783028.869864,27453.302450
395,1783120.559292,27472.104560
396,1783110.936938,27457.665171
397,1783098.784146,27442.715785
398,1783104.662255,27414.979950
399,1783140.443850,27442.161799
400,1783133.194260,27433.631643
401,1783185.721823,27449.379762
402,1783225.874427,27473.274390
403,1783245.037361,27476.750583
404,1783266.355985,27486.767026
405,1783488.111208,27451.914082
406,1783509.115183,27455.172715
407,1783532.488466,27492.346231
408,1783535.581732,27490.149276
409,1783498.539533,27487.520370
410,1783572.832048,27458.456037
411,1783568.164853,27516.640264
412,1783535.157345,27519.809488
413,1783517.659365,27516.298205
414,1783529.502801,27518.173458
415,1783515.869388,27519.723329
416,1783519.017954,27514.974197
417,1783519.539423,27507.773433
418,1783545.466896,27503.842788
419,1783788.617917,27519.890938
420,1783812.144803,27527.742686
421,1783816.232804,27511.880513
422,1783877.403679,27519.285639
423,1783854.184034,27525.453294
424,1783849.897680,27523.137259
425,1783855.597174,27532.898413
426,1783867.466918,27517.133177
427,1783837.704797,27529.444812
428,1783882.104422,27542.616980
429,1783895.312991,27551.507460
430,1783896.516378,27564.689672
431,1783909.370763,27548.784407
432,1783900.356116,27541.610214
433,1783976.531264,27550.140860
434,1784001.648682,27559.154311
435,1784118.923449,27610.472643
436,1784120.665495,27619.610879
437,1784123.593661,27619.161441
438,1784080.064604,27647.093299
439,1784104.753389,27647.752418
440,1784102.446953,27643.716810
441,1784102.456941,27653.226554
442,1784152.095656,27677.882645
443,1784146.974258,27706.194476
444,1784069.394006,27677.881550
445,1784113.960512,27686.024234
446,1784184.664792,27723.785878
447,1784208.541528,27735.352203
448,1784194.646513,27738.560345
449,1784215.465574,27748.924764
450,1784235.135005,27761.021336
451,1784257.127719,27745.664038
452,1784284.012027,27782.382997
453,1784337.324430,27819.660470
454,1784361.881927,27817.321427
455,1784333.584725,27793.360785
456,1784343.106373,27795.106437
457,1784256.171989,27733.026415
458,1784256.883810,27724.526867
459,1784203.853224,27709.131105
460,1784205.954604,27701.216144
461,1784197.658286,27718.885563
462,1784186.203827,27720.672659
463,1784204.072006,27713.993852
464,1784189.238043,27702.842117
465,1784222.636750,27702.533207
466,1784284.144916,27699.550417
467,1784278.105392,27715.849753
468,1784369.438990,27771.501603
469,1784617.940508,27894.286162
470,1784741.316098,28006.232209
471,1784746.223511,28006.843025
472,1784762.187501,28016.732304
473,1784773.026955,28020.604295
474,1784793.727256,28021.499503
475,1784867.751644,28065.458199
476,1784878.588727,28056.945496
477,1784882.692701,28060.988617
478,1784886.368332,28063.952040
479,1784878.675311,28085.049374
480,1784890.998856,28069.926513
481,1784924.320928,28036.199423
482,1784919.549947,28032.259250
483,1784913.449558,28106.803191
484,1785001.631052,28132.136033
485,1785054.330355,27991.703315
486,1785080.501739,27989.209045
487,1785108.234407,27995.787055
488,1785193.235365,27932.838260
489,1785140.009836,27900.412949
490,1785185.809337,27940.956137
491,1785248.519872,27928.977396
492,1785565.044608,28243.842757
493,1785552.225364,28244.849103
494,1785703.823382,27846.316151
495,1785687.621660,27853.725507
496,1785692.430309,27862.940934
497,1785762.130036,27880.875412
498,1785781.153652,27853.307100
499,1785802.745345,27830.566385
